Unnamed: 0,Instrument,Company Common Name,TRBC Business Sector Name,Resource Use Score,Policy Water Efficiency,Policy Energy Efficiency,Policy Environmental Supply Chain,Resource Reduction Targets,Targets Water Efficiency,Targets Energy Efficiency,Environment Management Training,Environmental Materials Sourcing,Total Energy Use To Revenues USD in million,Renewable Energy Use,Green Buildings,Environmental Supply Chain Management
0,FICO.N,Fair Isaac Corp,Software & IT Services,bad,False,True,False,False,False,False,True,False,,False,True,False
1,ROP.N,Roper Technologies Inc,Software & IT Services,bad,True,False,False,False,False,False,False,False,,False,False,True
2,ADP.OQ,Automatic Data Processing Inc,Software & IT Services,bad,False,True,True,False,False,False,True,False,75.6647958734855,True,True,True
3,CACI.N,CACI International Inc,Software & IT Services,good,True,True,True,False,False,False,False,False,46.0738847875793,True,True,True
4,CDNS.OQ,Cadence Design Systems Inc,Software & IT Services,bad,True,True,True,False,False,False,False,True,102.983275497691,True,False,True
5,ATVI.OQ,Activision Blizzard Inc,Software & IT Services,good,True,True,True,False,False,False,False,False,26.1108453936158,True,True,True
6,MSFT.OQ,Microsoft Corp,Software & IT Services,good,True,True,True,True,True,True,True,True,288.745816477083,True,True,True
7,DXC.N,DXC Technology Co,Software & IT Services,good,True,True,True,True,True,True,True,True,297.695752721529,True,False,True
8,ORCL.N,Oracle Corp,Software & IT Services,good,True,True,True,True,True,True,True,True,135.596283403296,True,True,True
9,PRGS.OQ,Progress Software Corp,Software & IT Services,good,True,True,True,False,False,False,False,True,27.0838469979089,True,True,True
10,NLOK.OQ,Gen Digital Inc,Software & IT Services,good,True,True,True,False,False,False,True,True,49.8834048640915,True,True,True
11,SNPS.OQ,Synopsys Inc,Software & IT Services,good,True,True,True,False,False,False,True,True,,True,True,True
12,NCR.N,NCR Corp,Software & IT Services,bad,False,True,False,False,False,False,True,False,,False,True,False
13,STCN.OQ,Steel Connect Inc,Software & IT Services,bad,True,True,False,False,False,False,False,False,73.2680729625082,False,False,True
14,AVID.OQ,Avid Technology Inc,Software & IT Services,bad,False,False,True,False,False,False,False,False,,False,no value,True
15,ANSS.OQ,ANSYS Inc,Software & IT Services,bad,True,True,True,False,False,False,True,False,80.8806746664429,True,True,True
16,IT.N,Gartner Inc,Software & IT Services,good,True,True,True,False,False,False,True,False,19.3142316369382,True,True,True
17,AKAM.OQ,Akamai Technologies Inc,Software & IT Services,bad,True,True,False,True,False,True,False,False,,True,True,False
18,NTCT.OQ,Netscout Systems Inc,Software & IT Services,bad,False,True,True,False,False,False,True,True,,False,False,True
19,CTSH.OQ,Cognizant Technology Solutions Corp,Software & IT Services,good,True,True,True,False,False,False,True,True,34.8604311881991,True,True,True
20,EBAY.OQ,eBay Inc,Software & IT Services,good,True,True,True,False,False,False,True,False,138.766525911708,True,True,True
21,FFIV.OQ,F5 Inc,Software & IT Services,bad,False,False,False,False,False,False,False,False,50.8087141433932,False,True,False
22,NFLX.OQ,Netflix Inc,Software & IT Services,bad,False,True,False,False,False,False,False,False,18.9777693970597,True,False,False
23,CRM.N,Salesforce Inc,Software & IT Services,good,True,True,True,False,False,False,True,True,131.620553359683,True,True,True
24,BLKB.OQ,Blackbaud Inc,Software & IT Services,good,True,True,True,False,False,False,True,False,15.9268157026753,True,True,False
25,LDOS.N,Leidos Holdings Inc,Software & IT Services,good,True,True,True,False,False,False,True,True,51.045051638611,True,False,True
26,MA.N,Mastercard Inc,Software & IT Services,good,False,True,True,False,False,False,True,True,,True,True,True
27,CVLT.OQ,Commvault Systems Inc,Software & IT Services,good,True,True,True,False,False,False,False,True,36.6308779598514,False,True,True
28,VMW.N,VMware Inc,Software & IT Services,good,True,True,True,False,False,False,True,False,53.4778305190257,True,True,True
29,VRSK.OQ,Verisk Analytics Inc,Software & IT Services,bad,False,True,True,False,False,False,False,False,,False,True,True
30,META.OQ,Meta Platforms Inc,Software & IT Services,good,True,True,True,True,True,True,True,False,313.688744922792,True,True,False
31,BAH.N,Booz Allen Hamilton Holding Corp,Software & IT Services,bad,True,True,False,False,False,False,True,False,,False,True,True
32,EPAM.N,Epam Systems Inc,Software & IT Services,bad,False,True,False,False,False,False,False,False,681509024.4669917,False,True,False
33,PANW.OQ,Palo Alto Networks Inc,Software & IT Services,bad,False,True,True,False,False,False,True,False,,True,True,True
